Company name,Linkedin
1,KazNet Media LLP,https://www.linkedin.com/company/kaznet-media-llp?trk=companies_directory
2,KazPetrodrilling JSC,https://www.linkedin.com/company/kazpetrodrilling-jsc?trk=companies_directory
3,KazService (Association of service companies of Kazakhstan),https://www.linkedin.com/company/kazservice-association-of-service-companies-of-kazakhstan-?trk=companies_directory
4,KazSource,https://www.linkedin.com/company/kazsource?trk=companies_directory
5,KazSource Insurance,https://www.linkedin.com/company/kazinsurance?trk=companies_directory
6,KazStroyService,https://www.linkedin.com/company/kazstroyservice?trk=companies_directory
7,KazTelePort,https://www.linkedin.com/company/jsc-kazteleport?trk=companies_directory
8,KazTia Design llc,https://www.linkedin.com/company/kaztia-design-llc?trk=companies_directory
9,KazTransCom,https://www.linkedin.com/company/kaztranscom?trk=companies_directory
10,KazTransGas Aimak JSC,https://www.linkedin.com/company/kaztransgas-aimak-jsc?trk=companies_directory
11,KazTransOil,https://www.linkedin.com/company/kaztransoil?trk=companies_directory
12,KazTranslation,https://www.linkedin.com/company/kaztranslation?trk=companies_directory
13,KazTrix - Clients,https://www.linkedin.com/showcase/kaztrix---clients?trk=companies_directory
14,KazTrix News,https://www.linkedin.com/showcase/kaztrix-news?trk=companies_directory
15,KazTrix Software - Clients,https://www.linkedin.com/showcase/kaztrix-software---clients?trk=companies_directory
16,KazUAV | Kazakhstan drone service provider,https://www.linkedin.com/company/kazuav?trk=companies_directory
17,KazWrite,https://www.linkedin.com/showcase/kazwrite?trk=companies_directory
18,Kaza,https://www.linkedin.com/company/officilakaza?trk=companies_directory
19,Kaza Chique,https://www.linkedin.com/company/kaza-chique?trk=companies_directory
20,Kaza Engenharia e Construção,https://www.linkedin.com/company/kaza-engenharia-e-constru%C3%A7%C3%A3o?trk=companies_directory
21,Kaza Fire Equipment Company,https://www.linkedin.com/company/kaza-fire-equipment-company?trk=companies_directory
22,Kaza Montagem E Manutencao Industrial E Predial,https://www.linkedin.com/company/kaza-montagem-e-manutencao-industrial-e-predial?trk=companies_directory
23,Kaza Store Design Mobili,https://www.linkedin.com/company/kazastore-design-mobili?trk=companies_directory
24,Kaza Talent,https://www.linkedin.com/company/kaza-talent?trk=companies_directory
25,Kaza design,https://www.linkedin.com/company/kaza-design?trk=companies_directory
26,Kaza-Ads,https://www.linkedin.com/showcase/kaza-ads?trk=companies_directory
27,Kazaa,https://www.linkedin.com/company/kazaa?trk=companies_directory
28,Kazaag For Real Estate,https://www.linkedin.com/company/kazaag?trk=companies_directory
29,Kazaam Interactive,https://www.linkedin.com/company/kazaam-interactive?trk=companies_directory
30,Kazablanka,https://www.linkedin.com/company/kazablanka?trk=companies_directory
31,Kazachok Networks : Licensing Expertise,https://www.linkedin.com/showcase/kazachok-networks-licensing-expertise?trk=companies_directory
32,Kazadi Films Ltd,https://www.linkedin.com/company/kazadi-films-ltd?trk=companies_directory
33,Kazadoctor,https://www.linkedin.com/showcase/kazadoctor?trk=companies_directory
34,Kazaeronavigatsia,https://www.linkedin.com/company/kazaeronavigatsia?trk=companies_directory
35,Kazafana Village,https://www.linkedin.com/showcase/kazafana-village?trk=companies_directory
36,Kazagropromservice,https://www.linkedin.com/company/kazagropromservice?trk=companies_directory
37,Kazaiot,https://www.linkedin.com/showcase/kazaiot?trk=companies_directory
38,Kazairjet,https://www.linkedin.com/company/kazairjet?trk=companies_directory
39,Kazak Media,https://www.linkedin.com/company/kazak-media?trk=companies_directory
40,Kazak Uny LLC,https://www.linkedin.com/company/kazak-uny-llc?trk=companies_directory
41,"Kazakh Economic University (KazEU) named after Ryskulov, Almaty",https://www.linkedin.com/company/kazakh-economic-university-kazeu-named-after-ryskulov-almaty?trk=companies_directory
42,Kazakh Ministry of Flowers,https://www.linkedin.com/company/kazakh-ministry-of-flowers?trk=companies_directory
43,Kazakh Research Institute of Potato and Vegetable Growing (KazRIPVG),https://www.linkedin.com/company/%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D0%BA%D0%B8%D0%B9-%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE-%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9-%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82-%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%84%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%B8-%D0%BE%D0%B2%D0%BE%D1%89%D0%B5%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%BA%D0%B0%D0%B7%D0%BD%D0%B8%D0%B8%D0%BA%D0%BE-?trk=companies_directory
44,Kazakh Translations,https://www.linkedin.com/showcase/kazakh-translations?trk=companies_directory
45,Kazakh-American Univesity,https://www.linkedin.com/company/kazakh-american-univesity?trk=companies_directory
46,Kazakh-British Study center M&K Astana & Almaty,https://www.linkedin.com/company/kazakh-british-study-center-m%26k-astana?trk=companies_directory
47,Kazakh-British Technical University,https://www.linkedin.com/company/kazakh-britishtechnicaluniversity?trk=companies_directory
48,Kazakh-Slovenian Business club (KSBC),https://www.linkedin.com/company/kazakh-slovenian-business-club-ksbc?trk=companies_directory
49,KazakhExport,https://www.linkedin.com/company/kazakhexport?trk=companies_directory
50,KazakhOil Aktobe LLP,https://www.linkedin.com/company/kazakhoil-aktobe-llp?trk=companies_directory
51,Kazakhaltyn Service,https://www.linkedin.com/company/kazakhaltyn-service?trk=companies_directory
52,Kazakhmys,https://www.linkedin.com/company/kazakhmys?trk=companies_directory
53,Kazakhmys Insurance JSC,https://www.linkedin.com/company/kmic?trk=companies_directory
54,Kazakhstan Chamber of Commerce in the USA,https://www.linkedin.com/company/kazakhstan-chamber-of-commerce-in-the-usa?trk=companies_directory
55,Kazakhstan Engineering,https://www.linkedin.com/company/kazakhstan-engineering?trk=companies_directory
56,"Kazakhstan Feminist Initiative ""Feminita""",https://www.linkedin.com/company/feminita?trk=companies_directory
57,Kazakhstan Finance Student Association,https://www.linkedin.com/company/kfsa-nu?trk=companies_directory
58,Kazakhstan Foundation for Cultural Social and Educational Development,https://www.linkedin.com/company/kfcsed?trk=companies_directory
59,Kazakhstan Growth Fund,https://www.linkedin.com/company/kazakhstan-growth-fund?trk=companies_directory
60,Kazakhstan Industry Development Institute,https://www.linkedin.com/company/kazakhstan-industry-development-institute?trk=companies_directory
61,Kazakhstan Kagazy,https://www.linkedin.com/company/kazakhstan-kagazy-plc?trk=companies_directory
62,Kazakhstan Ministry of Finance,https://www.linkedin.com/company/kazakhstan-ministry-of-finance?trk=companies_directory
63,Kazakhstan Network Construction,https://www.linkedin.com/company/kazakhstan-network-construction?trk=companies_directory
64,Kazakhstan Networking Partners ( KN Partners ),https://www.linkedin.com/company/kazakhstan-networking-partners-kn-partners?trk=companies_directory
65,Kazakhstan Newsline,https://www.linkedin.com/company/kazakhstan-newsline?trk=companies_directory
66,Kazakhstan Petrochemical Industries JSC,https://www.linkedin.com/company/kazakhstan-petrochemical-industries-jsc?trk=companies_directory
67,Kazakhstan PhD Association in the UK,https://www.linkedin.com/company/kazakhstan-phd-association-in-the-uk?trk=companies_directory
68,Kazakhstan Pipeline Ventures,https://www.linkedin.com/company/kazakhstan-pipeline-ventures?trk=companies_directory
69,Kazakhstan Professional Services,https://www.linkedin.com/company/kpscorp?trk=companies_directory
70,Kazakhstan Stock Exchange,https://www.linkedin.com/company/kazakhstan-stock-exchange?trk=companies_directory
71,Kazakhstan Students Association in China,https://www.linkedin.com/company/ksac?trk=companies_directory
72,Kazakhstan Sugar Company & Sugar Supplier,https://www.linkedin.com/company/supplier-sugar?trk=companies_directory
73,"Kazakhstan Waste Management Association ""KazWaste""",https://www.linkedin.com/company/kazakhstanwastemanagementassociationkazwaste?trk=companies_directory
74,Kazakhtelecom JSC,https://www.linkedin.com/company/kazakhtelecom-jsc?trk=companies_directory
75,"Kazakos Imports, Ltd",https://www.linkedin.com/company/kazakos-imports-ltd?trk=companies_directory
76,"Kazal Fire Protection, Inc.",https://www.linkedin.com/company/kazal-fire-protection-inc.?trk=companies_directory
77,Kazama,https://www.linkedin.com/company/kazama?trk=companies_directory
78,Kazama Sushi,https://www.linkedin.com/company/kazama-sushi?trk=companies_directory
79,Kazamarka,https://www.linkedin.com/company/kazamarka?trk=companies_directory
80,Kazamedia,https://www.linkedin.com/company/kazamedia?trk=companies_directory
81,Kazan Design,https://www.linkedin.com/company/kazan-design?trk=companies_directory
82,Kazan Law Firm,https://www.linkedin.com/company/kazan-law-firm?trk=companies_directory
83,Kazan Restaurant,https://www.linkedin.com/company/kazan-restaurant?trk=companies_directory
84,Kazan State Technical University named after A.N.Tupolev,https://www.linkedin.com/company/kazan-state-technical-university-named-after-a-n-tupolev?trk=companies_directory
85,Kazan State University of Architecture and Engineering,https://www.linkedin.com/company/kazan-state-university-of-architecture-and-engineering?trk=companies_directory
86,Kazandb,https://www.linkedin.com/company/kazandb?trk=companies_directory
87,Kazang Zambia,https://www.linkedin.com/company/kazang-zambia?trk=companies_directory
88,Kazani Engenharia,https://www.linkedin.com/company/kazani-engenharia?trk=companies_directory
89,Kazanjian,https://www.linkedin.com/company/kazanjian-bros.-inc.?trk=companies_directory
90,Kazanjian Horticultural Contractors,https://www.linkedin.com/company/kazanjian-horticultural-contractors?trk=companies_directory
91,Kazanjian Oriential Rug Gallery,https://www.linkedin.com/company/kazanjian-oriential-rug-gallery?trk=companies_directory
92,Kazantzis & Partners - Attorneys At Law,https://www.linkedin.com/company/kazantzis-%26-partners---attorneys-at-law?trk=companies_directory
93,Kazantzis Real Estate LLC,https://www.linkedin.com/company/kazantzis-real-estate-llc?trk=companies_directory
94,Kazap Company,https://www.linkedin.com/company/kazap-corp?trk=companies_directory
95,Kazap Mobile,https://www.linkedin.com/showcase/kazap-mobile?trk=companies_directory
96,Kazap Technologies,https://www.linkedin.com/company/kazap-tech-and-apps?trk=companies_directory
97,Kazap Technologies,https://www.linkedin.com/company/kazap-tecnologia-br?trk=companies_directory
98,"Kazar AV, LLC",https://www.linkedin.com/company/kazar-av?trk=companies_directory
99,"Kazar International, Inc.",https://www.linkedin.com/company/kazar-international-inc-?trk=companies_directory
100,Kazar Marble,https://www.linkedin.com/company/kazar-marble?trk=companies_directory
101,Kazar's Electric,https://www.linkedin.com/company/kazarselectric?trk=companies_directory
102,Kazarcom Ltd,https://www.linkedin.com/company/kazarcom-ltd?trk=companies_directory
103,Kazari Pty Ltd,https://www.linkedin.com/company/kazari-pty-ltd?trk=companies_directory
104,Kazarian Law,https://www.linkedin.com/company/kazarian-law?trk=companies_directory
105,Kazarian Spencer & Assoc,https://www.linkedin.com/company/kazarian-spencer-%26-assoc?trk=companies_directory
106,Kazarian/Measures/Ruskin & Associates,https://www.linkedin.com/company/kmrtalent?trk=companies_directory
107,"Kazarians & Associates, Inc.",https://www.linkedin.com/company/kazarians-%26-associates-inc-?trk=companies_directory
108,Kazark Search Technology,https://www.linkedin.com/company/kazark?trk=companies_directory
